id,document,summary
951,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
952,Artificial intelligence is transforming the tech industry.,AI is changing tech.
953,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
954,Machine learning is a subset of artificial intelligence.,ML is part of AI.
955,John went to the store to buy some groceries.,John bought groceries.
956,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
957,Artificial intelligence is transforming the tech industry.,AI is changing tech.
958,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
959,Machine learning is a subset of artificial intelligence.,ML is part of AI.
960,John went to the store to buy some groceries.,John bought groceries.
961,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
962,Artificial intelligence is transforming the tech industry.,AI is changing tech.
963,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
964,Machine learning is a subset of artificial intelligence.,ML is part of AI.
965,John went to the store to buy some groceries.,John bought groceries.
966,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
967,Artificial intelligence is transforming the tech industry.,AI is changing tech.
968,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
969,Machine learning is a subset of artificial intelligence.,ML is part of AI.
970,John went to the store to buy some groceries.,John bought groceries.
971,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
972,Artificial intelligence is transforming the tech industry.,AI is changing tech.
973,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
974,Machine learning is a subset of artificial intelligence.,ML is part of AI.
975,John went to the store to buy some groceries.,John bought groceries.
976,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
977,Artificial intelligence is transforming the tech industry.,AI is changing tech.
978,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
979,Machine learning is a subset of artificial intelligence.,ML is part of AI.
980,John went to the store to buy some groceries.,John bought groceries.
981,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
982,Artificial intelligence is transforming the tech industry.,AI is changing tech.
983,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
984,Machine learning is a subset of artificial intelligence.,ML is part of AI.
985,John went to the store to buy some groceries.,John bought groceries.
986,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
987,Artificial intelligence is transforming the tech industry.,AI is changing tech.
988,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
989,Machine learning is a subset of artificial intelligence.,ML is part of AI.
990,John went to the store to buy some groceries.,John bought groceries.
991,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
992,Artificial intelligence is transforming the tech industry.,AI is changing tech.
993,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
994,Machine learning is a subset of artificial intelligence.,ML is part of AI.
995,John went to the store to buy some groceries.,John bought groceries.
996,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
997,Artificial intelligence is transforming the tech industry.,AI is changing tech.
998,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
999,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1000,John went to the store to buy some groceries.,John bought groceries.
1001,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1002,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1003,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1004,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1005,John went to the store to buy some groceries.,John bought groceries.
1006,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1007,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1008,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1009,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1010,John went to the store to buy some groceries.,John bought groceries.
1011,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1012,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1013,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1014,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1015,John went to the store to buy some groceries.,John bought groceries.
1016,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1017,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1018,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1019,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1020,John went to the store to buy some groceries.,John bought groceries.
1021,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1022,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1023,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1024,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1025,John went to the store to buy some groceries.,John bought groceries.
1026,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1027,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1028,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1029,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1030,John went to the store to buy some groceries.,John bought groceries.
1031,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1032,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1033,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1034,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1035,John went to the store to buy some groceries.,John bought groceries.
1036,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1037,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1038,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1039,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1040,John went to the store to buy some groceries.,John bought groceries.
1041,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1042,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1043,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1044,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1045,John went to the store to buy some groceries.,John bought groceries.
1046,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1047,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1048,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1049,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1050,John went to the store to buy some groceries.,John bought groceries.
1051,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1052,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1053,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1054,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1055,John went to the store to buy some groceries.,John bought groceries.
1056,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1057,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1058,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1059,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1060,John went to the store to buy some groceries.,John bought groceries.
1061,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1062,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1063,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1064,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1065,John went to the store to buy some groceries.,John bought groceries.
1066,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1067,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1068,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1069,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1070,John went to the store to buy some groceries.,John bought groceries.
1071,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1072,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1073,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1074,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1075,John went to the store to buy some groceries.,John bought groceries.
1076,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1077,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1078,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1079,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1080,John went to the store to buy some groceries.,John bought groceries.
1081,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1082,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1083,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1084,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1085,John went to the store to buy some groceries.,John bought groceries.
1086,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1087,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1088,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1089,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1090,John went to the store to buy some groceries.,John bought groceries.
1091,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1092,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1093,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1094,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1095,John went to the store to buy some groceries.,John bought groceries.
1096,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1097,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1098,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1099,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1100,John went to the store to buy some groceries.,John bought groceries.
1101,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1102,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1103,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1104,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1105,John went to the store to buy some groceries.,John bought groceries.
1106,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1107,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1108,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1109,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1110,John went to the store to buy some groceries.,John bought groceries.
1111,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1112,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1113,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1114,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1115,John went to the store to buy some groceries.,John bought groceries.
1116,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1117,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1118,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1119,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1120,John went to the store to buy some groceries.,John bought groceries.
1121,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1122,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1123,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1124,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1125,John went to the store to buy some groceries.,John bought groceries.
1126,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1127,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1128,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1129,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1130,John went to the store to buy some groceries.,John bought groceries.
1131,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1132,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1133,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1134,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1135,John went to the store to buy some groceries.,John bought groceries.
1136,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1137,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1138,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1139,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1140,John went to the store to buy some groceries.,John bought groceries.
1141,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1142,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1143,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1144,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1145,John went to the store to buy some groceries.,John bought groceries.
1146,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1147,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1148,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1149,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1150,John went to the store to buy some groceries.,John bought groceries.
1151,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1152,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1153,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1154,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1155,John went to the store to buy some groceries.,John bought groceries.
1156,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1157,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1158,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1159,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1160,John went to the store to buy some groceries.,John bought groceries.
1161,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1162,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1163,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1164,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1165,John went to the store to buy some groceries.,John bought groceries.
1166,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1167,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1168,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1169,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1170,John went to the store to buy some groceries.,John bought groceries.
1171,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1172,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1173,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1174,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1175,John went to the store to buy some groceries.,John bought groceries.
1176,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1177,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1178,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1179,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1180,John went to the store to buy some groceries.,John bought groceries.
1181,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1182,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1183,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1184,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1185,John went to the store to buy some groceries.,John bought groceries.
1186,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1187,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1188,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1189,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1190,John went to the store to buy some groceries.,John bought groceries.
1191,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1192,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1193,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1194,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1195,John went to the store to buy some groceries.,John bought groceries.
1196,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1197,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1198,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1199,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1200,John went to the store to buy some groceries.,John bought groceries.
1201,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1202,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1203,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1204,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1205,John went to the store to buy some groceries.,John bought groceries.
1206,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1207,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1208,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1209,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1210,John went to the store to buy some groceries.,John bought groceries.
1211,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1212,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1213,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1214,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1215,John went to the store to buy some groceries.,John bought groceries.
1216,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1217,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1218,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1219,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1220,John went to the store to buy some groceries.,John bought groceries.
1221,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1222,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1223,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1224,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1225,John went to the store to buy some groceries.,John bought groceries.
1226,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1227,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1228,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1229,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1230,John went to the store to buy some groceries.,John bought groceries.
1231,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1232,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1233,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1234,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1235,John went to the store to buy some groceries.,John bought groceries.
1236,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1237,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1238,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1239,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1240,John went to the store to buy some groceries.,John bought groceries.
1241,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1242,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1243,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1244,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1245,John went to the store to buy some groceries.,John bought groceries.
1246,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1247,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1248,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1249,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1250,John went to the store to buy some groceries.,John bought groceries.
1251,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1252,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1253,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1254,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1255,John went to the store to buy some groceries.,John bought groceries.
1256,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1257,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1258,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1259,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1260,John went to the store to buy some groceries.,John bought groceries.
1261,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1262,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1263,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1264,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1265,John went to the store to buy some groceries.,John bought groceries.
1266,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1267,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1268,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1269,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1270,John went to the store to buy some groceries.,John bought groceries.
1271,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1272,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1273,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1274,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1275,John went to the store to buy some groceries.,John bought groceries.
1276,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1277,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1278,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1279,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1280,John went to the store to buy some groceries.,John bought groceries.
1281,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1282,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1283,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1284,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1285,John went to the store to buy some groceries.,John bought groceries.
1286,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1287,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1288,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1289,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1290,John went to the store to buy some groceries.,John bought groceries.
1291,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1292,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1293,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1294,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1295,John went to the store to buy some groceries.,John bought groceries.
1296,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1297,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1298,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1299,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1300,John went to the store to buy some groceries.,John bought groceries.
1301,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1302,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1303,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1304,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1305,John went to the store to buy some groceries.,John bought groceries.
1306,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1307,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1308,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1309,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1310,John went to the store to buy some groceries.,John bought groceries.
1311,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1312,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1313,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1314,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1315,John went to the store to buy some groceries.,John bought groceries.
1316,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1317,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1318,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1319,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1320,John went to the store to buy some groceries.,John bought groceries.
1321,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1322,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1323,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1324,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1325,John went to the store to buy some groceries.,John bought groceries.
1326,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1327,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1328,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1329,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1330,John went to the store to buy some groceries.,John bought groceries.
1331,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1332,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1333,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1334,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1335,John went to the store to buy some groceries.,John bought groceries.
1336,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1337,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1338,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1339,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1340,John went to the store to buy some groceries.,John bought groceries.
1341,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1342,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1343,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1344,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1345,John went to the store to buy some groceries.,John bought groceries.
1346,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1347,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1348,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1349,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1350,John went to the store to buy some groceries.,John bought groceries.
1351,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1352,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1353,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1354,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1355,John went to the store to buy some groceries.,John bought groceries.
1356,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1357,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1358,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1359,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1360,John went to the store to buy some groceries.,John bought groceries.
1361,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1362,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1363,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1364,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1365,John went to the store to buy some groceries.,John bought groceries.
1366,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1367,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1368,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1369,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1370,John went to the store to buy some groceries.,John bought groceries.
1371,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1372,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1373,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1374,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1375,John went to the store to buy some groceries.,John bought groceries.
1376,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1377,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1378,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1379,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1380,John went to the store to buy some groceries.,John bought groceries.
1381,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1382,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1383,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1384,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1385,John went to the store to buy some groceries.,John bought groceries.
1386,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1387,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1388,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1389,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1390,John went to the store to buy some groceries.,John bought groceries.
1391,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1392,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1393,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1394,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1395,John went to the store to buy some groceries.,John bought groceries.
1396,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1397,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1398,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1399,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1400,John went to the store to buy some groceries.,John bought groceries.
1401,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1402,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1403,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1404,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1405,John went to the store to buy some groceries.,John bought groceries.
1406,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
1407,Artificial intelligence is transforming the tech industry.,AI is changing tech.
1408,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
1409,Machine learning is a subset of artificial intelligence.,ML is part of AI.
1410,John went to the store to buy some groceries.,John bought groceries.
1411,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
